\fixlen = T
|set|TIME        |PDCSAP_FLUX  |
|int|double      |double       |
 0   125.9543751  2.4867069e+05 
 0   125.9748098  2.4865594e+05 
 0   125.9952443  2.4862647e+05 
 0   126.0156789  2.4869264e+05 
 0   126.0361135  2.4870258e+05 
 0   126.0565482  2.4869880e+05 
 0   126.0769828  2.4868812e+05 
 0   126.0974174  2.4866139e+05 
 0   126.1178521  2.4868203e+05 
 0   126.1382867  2.4867916e+05 
 0   126.1587214  2.4861389e+05 
 0   126.1791559  2.4865566e+05 
 0   126.1995906  2.4857091e+05 
 0   126.2200253  2.4862398e+05 
 0   126.2404598  2.4856033e+05 
 0   126.2813291  2.4863798e+05 
 0   126.3017637  2.4861497e+05 
 0   126.3221983  2.4870512e+05 
 0   126.3426330  2.4870069e+05 
 0   126.3630676  2.4864483e+05 
 0   126.3835022  2.4874005e+05 
 0   126.4039369  2.4872612e+05 
 0   126.4243716  2.4866273e+05 
 0   126.4448061  2.4872939e+05 
 0   126.4652407  2.4866797e+05 
 0   126.4856754  2.4872708e+05 
 0   126.5061100  2.4869886e+05 
 0   126.5265446  2.4869344e+05 
 0   126.5469791  2.4866519e+05 
 0   126.5674139  2.4867538e+05 
 0   126.5878485  2.4869506e+05 
 0   126.6082831  2.4862727e+05 
 0   126.6287178  2.4870834e+05 
 0   126.6491524  2.4865214e+05 
 0   126.6695870  2.4859705e+05 
 0   126.6900215  2.4863173e+05 
 0   126.7104563  2.4858566e+05 
 0   126.7308909  2.4855258e+05 
 0   126.7513254  2.4860644e+05 
 0   126.7717602  2.4865641e+05 
 0   126.7921948  2.4862783e+05 
 0   126.8126293  2.4867170e+05 
 0   126.8330639  2.4867398e+05 
 0   126.8534987  2.4871092e+05 
 0   126.8739332  2.4868067e+05 
 0   126.8943678  2.4862703e+05 
 0   126.9148026  2.4868473e+05 
 0   126.9352372  2.4868548e+05 
 0   126.9556717  2.4871506e+05 
 0   126.9761063  2.4866425e+05 
 0   126.9965411  2.4866638e+05 
 0   127.0169757  2.4870062e+05 
 0   127.0374102  2.4861122e+05 
 0   127.0578449  2.4866462e+05 
 0   127.0782796  2.4863169e+05 
 0   127.0987141  2.4863430e+05 
 0   127.1191487  2.4863550e+05 
 0   127.1395835  2.4863414e+05 
 0   127.1600181  2.4860966e+05 
 0   127.1804526  2.4863870e+05 
 0   127.2008873  2.4858805e+05 
 0   127.2213220  2.4865388e+05 
 0   127.2417565  2.4868072e+05 
 0   127.2621911  2.4863769e+05 
 0   127.2826258  2.4865547e+05 
 0   127.3030604  2.4869134e+05 
 0   127.3234950  2.4868456e+05 
 0   127.3439297  2.4867814e+05 
 0   127.3643642  2.4867175e+05 
 0   127.3847989  2.4867042e+05 
 0   127.4052335  2.4866033e+05 
 0   127.4256681  2.4871145e+05 
 0   127.4461028  2.4868848e+05 
 0   127.4665374  2.4869372e+05 
 0   127.4869721  2.4871248e+05 
 0   127.5074066  2.4870911e+05 
 0   127.5278413  2.4870803e+05 
 0   127.5482758  2.4873512e+05 
 0   127.5687105  2.4868411e+05 
 0   127.5891451  2.4866934e+05 
 0   127.6504490  2.4859477e+05 
 0   127.6708836  2.4857177e+05 
 0   127.6913182  2.4860823e+05 
 0   127.7117529  2.4864769e+05 
 0   127.7321875  2.4864384e+05 
 0   127.7526220  2.4871138e+05 
 0   127.7730567  2.4867933e+05 
 0   127.7934914  2.4870492e+05 
 0   127.8139259  2.4871081e+05 
 0   127.8343605  2.4859880e+05 
 0   127.8547953  2.4868745e+05 
 0   127.8752298  2.4868448e+05 
 0   127.8956644  2.4868605e+05 
 0   127.9160990  2.4871144e+05 
 0   127.9365337  2.4873122e+05 
 0   127.9569683  2.4872819e+05 
 0   127.9774029  2.4872898e+05 
 0   127.9978376  2.4868662e+05 
 0   128.0182722  2.4869469e+05 
 0   128.0387068  2.4868117e+05 
 0   128.0591413  2.4865489e+05 
 0   128.0795760  2.4863770e+05 
 0   128.1000107  2.4863448e+05 
 0   128.1204453  2.4868788e+05 
 0   128.1408799  2.4861317e+05 
 0   128.1613145  2.4863067e+05 
 0   128.1817491  2.4864509e+05 
 0   128.2021837  2.4863775e+05 
 0   128.2226184  2.4869236e+05 
 0   128.2430530  2.4863716e+05 
 0   128.2634875  2.4866231e+05 
 0   128.2839223  2.4863789e+05 
 0   128.3043569  2.4863033e+05 
 0   128.3247914  2.4866517e+05 
 0   128.3656608  2.4867848e+05 
 0   128.3860954  2.4869984e+05 
 0   128.4065300  2.4862420e+05 
 0   128.4269646  2.4869528e+05 
 0   128.4473992  2.4866261e+05 
 0   128.4678339  2.4866516e+05 
 0   128.4882684  2.4875761e+05 
 0   128.5087031  2.4867509e+05 
 0   128.5291377  2.4871633e+05 
 0   128.5495723  2.4866322e+05 
 0   128.5700070  2.4863011e+05 
 0   128.5904416  2.4861905e+05 
 0   128.6108761  2.4860361e+05 
 0   128.6313107  2.4862291e+05 
 0   128.6517455  2.4864486e+05 
 0   128.6721801  2.4860262e+05 
 0   128.6926146  2.4867291e+05 
 0   128.7130493  2.4863867e+05 
 0   128.7334839  2.4871083e+05 
 0   128.7539185  2.4869412e+05 
 0   128.7743531  2.4864592e+05 
 0   128.8152223  2.4869502e+05 
 0   128.8356569  2.4868041e+05 
 0   128.8560916  2.4873959e+05 
 0   128.8765262  2.4868572e+05 
 0   128.8969608  2.4867933e+05 
 0   128.9173954  2.4868011e+05 
 0   128.9378301  2.4867441e+05 
 0   128.9582647  2.4868362e+05 
 0   128.9786993  2.4872228e+05 
 0   128.9991338  2.4864494e+05 
 0   129.0195685  2.4866080e+05 
 0   129.0400032  2.4862975e+05 
 0   129.0604377  2.4862639e+05 
 0   129.0808724  2.4860205e+05 
 0   129.1013070  2.4862475e+05 
 0   129.1217416  2.4863472e+05 
 0   129.1421762  2.4859731e+05 
 0   129.1626109  2.4864103e+05 
 0   129.1830455  2.4868402e+05 
 0   129.2034800  2.4868338e+05 
 0   129.2239147  2.4875752e+05 
 0   129.2443493  2.4867866e+05 
 0   129.2647839  2.4870469e+05 
 0   129.2852185  2.4868881e+05 
 0   129.3056532  2.4869619e+05 
 0   129.3260877  2.4867822e+05 
 0   129.3465223  2.4865973e+05 
 0   129.3669571  2.4872770e+05 
 0   129.3873916  2.4871762e+05 
 0   129.4078262  2.4870831e+05 
 0   129.4282608  2.4869873e+05 
 0   129.4486955  2.4867470e+05 
 0   129.4691301  2.4865617e+05 
 0   129.4895647  2.4862222e+05 
 0   129.5099994  2.4857548e+05 
 0   129.5304339  2.4863956e+05 
 0   129.5508685  2.4858256e+05 
 0   129.5713031  2.4860106e+05 
 0   129.5917378  2.4864377e+05 
 0   129.6121724  2.4865212e+05 
 0   129.6326070  2.4869142e+05 
 0   129.6530416  2.4867511e+05 
 0   129.6734762  2.4869397e+05 
 0   129.6939108  2.4870959e+05 
 0   129.7143455  2.4866027e+05 
 0   129.7347801  2.4867439e+05 
 0   129.7552147  2.4866405e+05 
 0   129.7756493  2.4865186e+05 
 0   129.7960840  2.4873181e+05 
 0   129.8165185  2.4866117e+05 
 0   129.8369532  2.4872691e+05 
 0   129.8573878  2.4870228e+05 
 0   129.8778224  2.4867631e+05 
 0   129.8982570  2.4871895e+05 
 0   129.9186916  2.4862809e+05 
 0   129.9391262  2.4861425e+05 
 0   129.9595609  2.4861314e+05 
 0   129.9799955  2.4858402e+05 
 0   130.0004300  2.4857028e+05 
 0   130.0208647  2.4859642e+05 
 0   130.0412993  2.4859270e+05 
 0   130.0617338  2.4861023e+05 
 0   130.0821685  2.4863419e+05 
 0   130.1026032  2.4868253e+05 
 0   130.1230377  2.4866020e+05 
 0   130.1434723  2.4865730e+05 
 0   130.1639070  2.4868561e+05 
 0   130.1843416  2.4861541e+05 
 0   130.2047761  2.4864998e+05 
 0   130.2252108  2.4860134e+05 
 0   130.2456455  2.4863861e+05 
 1   131.5125908  2.4427627e+05 
 1   131.5330255  2.4427914e+05 
 1   131.5534601  2.4425389e+05 
 1   131.5738946  2.4433288e+05 
 1   131.5943292  2.4426683e+05 
 1   131.6147640  2.4429944e+05 
 1   131.6351985  2.4429848e+05 
 1   131.6556331  2.4432362e+05 
 1   131.6760678  2.4435184e+05 
 1   131.6965024  2.4434155e+05 
 1   131.7169369  2.4430977e+05 
 1   131.7373715  2.4428566e+05 
 1   131.7578062  2.4433377e+05 
 1   131.7782407  2.4432952e+05 
 1   131.7986753  2.4428059e+05 
