kepid,kepoi_name,koi_disposition,koi_period,koi_time0bk
5534814,"K00838.01","FALSE POSITIVE",4.859386384,173.011469
6291653,"K00850.01","CONFIRMED",10.526294577,176.522462
6392727,"K00851.01","CONFIRMED",4.583520948,169.973972
6422070,"K00852.01","CONFIRMED",3.76181843,171.90364
6428700,"K00853.01","CONFIRMED",8.20396958,169.69138
6428700,"K00853.02","CONFIRMED",14.49645186,143.41659
5792202,"K00841.03","CONFIRMED",6.54626149,133.85964
5794379,"K00842.01","CONFIRMED",12.71809866,175.35526
5794379,"K00842.02","CONFIRMED",36.06588163,198.58423
5881688,"K00843.01","CONFIRMED",4.190425659,171.44122
6022556,"K00844.01","CONFIRMED",3.709870784,171.987982
6032497,"K00845.01","CONFIRMED",16.3297527,177.29506
6061119,"K00846.01","CONFIRMED",27.807566216,186.713552
6191521,"K00847.01","CONFIRMED",80.8723469,203.895
6267425,"K00848.01","FALSE POSITIVE",3.166465862,172.002627
3531558,"K00118.01","CONFIRMED",24.99324319,138.68167
6276477,"K00849.01","CONFIRMED",10.35533116,170.93729
6863998,"K00867.01","CONFIRMED",16.08518937,180.28319
6867155,"K00868.01","CANDIDATE",235.9986399,208.399822
6948054,"K00869.01","CONFIRMED",7.49018305,174.95037
6948054,"K00869.02","CONFIRMED",36.2761238,201.2869
6948054,"K00869.03","CONFIRMED",17.46087931,137.26594
6435936,"K00854.01","CONFIRMED",56.0560754,201.16578
6522242,"K00855.01","CONFIRMED",41.408316686,195.78745
6526710,"K00856.01","CANDIDATE",39.74893077,172.854644
6587280,"K00857.01","CONFIRMED",5.715425977,174.87931
9471974,"K00119.01","CONFIRMED",49.18394185,141.911924
6587280,"K00857.02","CONFIRMED",20.0261412,146.91109
6599919,"K00858.01","CANDIDATE",13.61014819,173.987319
6675056,"K00859.01","FALSE POSITIVE",10.44331991,175.4046
6685526,"K00861.01","CONFIRMED",2.237489571,170.81914
6756669,"K00862.01","FALSE POSITIVE",5.851520671,173.8228336
6784235,"K00863.01","CONFIRMED",3.167893418,172.147959
6849310,"K00864.01","CONFIRMED",4.311780262,173.576483
6849310,"K00864.02","CONFIRMED",20.0504494,188.08821
6849310,"K00864.03","CONFIRMED",9.76734503,186.57718
6862328,"K00865.01","CANDIDATE",119.0207044,222.236492
9471974,"K00119.02","CONFIRMED",190.3200468,312.68498
6862603,"K00866.01","FALSE POSITIVE",2.861159894,171.648106
7366258,"K00880.01","CONFIRMED",26.44439337,194.12074
7366258,"K00880.02","CONFIRMED",51.53997972,174.055011
7366258,"K00880.03","CONFIRMED",5.902245782,136.78393
7366258,"K00880.04","CONFIRMED",2.382951591,135.080841
7373451,"K00881.01","CONFIRMED",21.02250608,207.67593
6948054,"K00869.04","CONFIRMED",3.219814777,133.00406
6949607,"K00870.01","CONFIRMED",5.912273234,172.184012
6949607,"K00870.02","CONFIRMED",8.98581901,175.68418
7031517,"K00871.01","CANDIDATE",12.940668656,179.423014
11869052,"K00120.01","FALSE POSITIVE",20.5452375,137.91394
7109675,"K00872.01","CONFIRMED",33.60123371,186.680343
7109675,"K00872.02","CONFIRMED",6.76652928,138.0637
7118364,"K00873.01","CONFIRMED",4.347288783,172.23343
7134976,"K00874.01","CONFIRMED",4.601811819,169.98108
7134976,"K00874.02","CONFIRMED",11.18719905,137.17814
7135852,"K00875.01","CONFIRMED",4.220965778,170.622433
7270230,"K00876.01","FALSE POSITIVE",6.998099523,171.898913
7287995,"K00877.01","CONFIRMED",5.95489993,170.955871
7287995,"K00877.02","CONFIRMED",12.03987488,181.22536
7287995,"K00877.03","CONFIRMED",20.83762895,132.08488
3247396,"K00121.01","FALSE POSITIVE",8.8111022,136.4568
7303253,"K00878.01","CONFIRMED",23.58917143,173.81994
5094751,"K00123.01","CONFIRMED",6.481633073,122.977657
7678434,"K00892.01","CONFIRMED",10.37168928,172.61729
