,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Global_Importance
"flux__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.6",0.0044860984,-0.015450557,0.0073615685,-0.0019729827,-0.01370537,-0.037794195,-0.015957901,0.016318677,0.053719305,-0.004376212,0.017114287
"flux__fft_coefficient__attr_""angle""__coeff_88",0.008671416,0.018924206,0.0021355192,-0.0009819638,-0.0016608025,-0.016746543,-0.017182976,0.023739135,-0.0143088065,0.045822877,0.015017425
"flux__fft_coefficient__attr_""angle""__coeff_72",0.008991468,0.016005952,0.013320201,-0.001604705,-0.008710778,0.00011992711,-0.023207132,0.022676496,0.0082262885,0.042249713,0.014511267
flux__partial_autocorrelation__lag_2,0.00935853,-0.015652768,0.01613263,-0.0058865137,-0.023031848,-0.033137597,-0.01262395,0.010679862,-0.007397695,-0.010733611,0.014463499
flux__partial_autocorrelation__lag_6,0.010151658,0.0070258826,0.0042853924,-0.019303301,0.02795896,-0.017174711,-0.008499028,0.0011642276,-0.008589959,-0.025532147,0.012968527
flux__partial_autocorrelation__lag_3,0.001767798,-0.021511598,0.02370727,-0.016766477,-0.014255689,-0.0190102,-0.013535023,-0.009547434,0.0073946533,-0.0006801321,0.012817627
flux__partial_autocorrelation__lag_5,0.0054169856,-0.012373638,0.016026441,-0.009116695,-0.0044166315,-0.012071231,-0.031260718,0.000501648,-0.004051851,-0.0106997285,0.010593557
flux__ar_coefficient__coeff_7__k_10,-0.002949247,-0.0029807165,0.02175648,0.008691041,-0.014515435,-0.0139420945,0.0076718195,0.0028770631,-0.0035707871,-0.019481694,0.009843638
flux__partial_autocorrelation__lag_7,-0.006509807,-0.015963197,0.009602921,0.009113102,-0.014037211,-0.00015515549,-0.0050323023,-0.0042547546,0.007793836,0.0061173616,0.007857964
flux__ar_coefficient__coeff_6__k_10,0.008124048,0.0015363721,0.022136392,-0.0043806764,-0.0029109009,-0.015313642,-0.0060822326,0.0027865793,-0.003613084,-0.006441011,0.007332494
flux__partial_autocorrelation__lag_8,0.00440844,-0.0109070465,0.0044895364,0.0031004455,0.007750936,-0.0025081357,-0.011470981,0.016037645,-0.008355272,0.0028809793,0.0071909414
flux__partial_autocorrelation__lag_4,-0.00084642007,0.0013054531,0.00482896,0.008625318,-0.0054644174,0.0010597182,0.01615905,-0.0048900326,-0.006605331,0.0066797268,0.0056464425
flux__ar_coefficient__coeff_10__k_10,0.000406296,0.0044379374,0.011085916,0.009271151,-0.006409751,-0.003451491,0.0022484937,0.0016431541,-0.00661018,-0.0027001286,0.00482645
flux__ar_coefficient__coeff_8__k_10,0.0026106485,-0.0004049837,0.011845482,0.003357215,-0.0022754236,-0.008807787,-0.0007419494,-0.0028628467,-0.00046924912,-0.010036251,0.0043411837
