,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,Global_Importance
"flux__fft_coefficient__attr_""real""__coeff_13",-0.07859276,0.010078924,-0.039247014,0.105433196,-0.05184355,0.051597334,0.045391142,0.112462215,-0.049115773,-0.0186128,0.05623747
"flux__fft_coefficient__attr_""real""__coeff_1",-0.055126276,0.13679373,-5.153041e-05,-0.05193241,0.036587987,0.08762215,0.118275546,-0.039846554,-0.009527057,0.02497163,0.056073487
"flux__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.8",-0.0136757335,0.018157322,0.026262889,-0.038043637,-0.00387958,-0.08040092,0.0059986175,0.15567659,0.060656063,0.15710002,0.055985134
flux__number_peaks__n_10,0.016922899,-0.01262361,0.16683808,0.11513741,0.06505622,0.09451503,0.007914176,0.031969104,0.0052073556,-0.04349446,0.055967838
flux__index_mass_quantile__q_0.3,0.042859133,-0.11912059,-0.008225085,0.038212698,0.033135213,-0.14304279,-0.03540101,0.110564426,0.0050997515,-0.02213026,0.0557791
"flux__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.0",-0.07724086,0.049215384,0.043818936,-0.05777209,-0.022284271,0.021646207,-0.06164954,0.08939015,-0.092002295,0.041775092,0.05567948
"flux__fft_coefficient__attr_""real""__coeff_9",-0.07539276,0.08916788,-0.028142208,0.03966885,-0.017816132,0.08872046,0.06380772,0.08135596,-0.040709566,-0.02816079,0.055294238
flux__number_peaks__n_3,0.0017272914,0.010542772,0.18100141,0.11556137,0.032512076,0.068432614,0.015853396,0.03253083,0.004338368,-0.09027161,0.055277176
flux__number_cwt_peaks__n_5,0.006621647,0.012221196,0.1706813,0.09930611,0.04158969,0.06630583,0.0225903,-0.012774132,0.02514089,-0.09458055,0.055181164
flux__ar_coefficient__coeff_1__k_10,-0.06455011,-0.02886589,-0.11177833,0.03942066,-0.052800924,-0.03857851,0.06132983,-0.045509595,0.020975573,-0.08712136,0.05509308
flux__energy_ratio_by_chunks__num_segments_10__segment_focus_2,-0.051673938,0.14011449,-0.008095657,-0.026135966,-0.01624912,0.09299994,-0.033595353,-0.12343306,0.021410858,0.03490241,0.054861076
"flux__cwt_coefficients__coeff_14__w_5__widths_(2, 5, 10, 20)",-0.015150017,0.0044102976,-0.028063718,0.07511455,0.051781956,-0.08599951,-0.15011133,0.03298934,0.030904233,-0.070433624,0.05449586
flux__index_mass_quantile__q_0.4,0.049852807,-0.13009435,-0.0009023221,0.033644732,0.029523812,-0.14413658,-0.0065671518,0.11637674,0.00200918,-0.03080744,0.05439151
flux__ratio_beyond_r_sigma__r_1,0.050981775,0.025658825,0.17365311,0.057995643,-0.035028473,-0.07026743,-0.004310951,-0.0412471,-0.0106912665,0.07351007,0.05433446
"flux__fft_coefficient__attr_""abs""__coeff_12",-0.08144427,0.054013193,-0.04950761,0.11701022,-0.0052504395,-0.009381223,-0.09636945,0.08800003,-0.00097281736,-0.039494175,0.05414434
flux__fourier_entropy__bins_10,0.0054727406,-0.070189655,-0.033835627,-0.009966595,0.15386304,0.16225974,-0.034035258,0.0190778,0.04977602,0.002549003,0.05410255
flux__number_peaks__n_1,-0.003629731,0.021336766,0.18182059,0.12092116,0.011187772,0.055218097,0.020898333,0.024020275,0.003577302,-0.096221074,0.053883113
flux__ratio_beyond_r_sigma__r_10,-0.02227713,-0.06630731,-0.06721162,-0.042238537,0.06729264,0.08670056,0.017971134,-0.01748001,0.057757806,-0.0924878,0.05377245
flux__quantile__q_0.1,0.047133204,-0.15002112,-0.0029081574,0.043213252,-0.032633364,-0.035392135,-0.031365383,0.10028685,-0.045225065,-0.049348954,0.05375275
flux__fourier_entropy__bins_3,-0.011675847,-0.06892803,-0.057673734,-0.012006986,0.12812658,0.14452817,-0.020001708,0.014672077,0.049723063,-0.026666233,0.05340024
flux__energy_ratio_by_chunks__num_segments_10__segment_focus_3,-0.05510256,0.1212021,-0.012073818,-0.0036546106,-0.029317368,0.08993202,-0.07747104,-0.1070671,0.007474094,0.030630656,0.053392537
flux__index_mass_quantile__q_0.7,-0.05094937,0.12174151,0.008602907,-0.037840936,0.10708666,0.018506177,0.14765841,0.01999512,0.012562074,-0.008782628,0.05337258
flux__range_count__max_1__min_-1,-0.007512138,0.028538883,0.17208607,0.12372088,0.00083833403,0.032833524,0.037767798,-0.0062517896,0.021591276,-0.10209346,0.05332341
"flux__fft_coefficient__attr_""abs""__coeff_14",-0.08442966,0.024192793,-0.048709404,0.12901026,-0.0034203574,-0.02706458,-0.08489831,0.09519084,0.00020223169,-0.03399128,0.05311097
