time,flux
122.11278019219753,0.9921118
122.1332148377187,0.9920772
122.15364938312996,0.9918764
122.17408412854275,0.9917083
122.19451877383108,0.9915358
122.21495331912593,0.99133545
122.23538796430512,0.99115855
122.2558227094778,0.9909625
122.27625725453981,0.9909805
122.29669189960259,0.99082506
122.31712664454244,0.99069536
122.33756118948804,0.9905142
122.35799583431799,0.9902642
122.37843047914066,0.99016887
122.39886522385495,0.9901446
122.41929976856773,0.99003047
122.43973441315757,0.98990315
122.46016915775544,0.98971975
122.48060370223538,0.989643
122.5010383465924,0.9895306
122.52147289095592,0.98931146
122.54190763532097,0.9893477
122.56234227956156,0.989169
122.58277692380943,0.98923177
122.60321156794089,0.989095
122.62364621194865,0.98894054
122.6440808559637,0.9889267
122.66451539986156,0.9887834
122.68495014375367,0.98872477
122.70538478765229,0.9886194
122.72581933131733,0.98860854
122.74625407509302,0.9885029
122.76668871875881,0.9885738
122.78712326230743,0.98837197
122.80755790573312,0.98835844
122.82799264928326,0.98837006
122.84842729259981,0.9883361
122.86886193590908,0.9880654
122.88929657922563,0.98824143
122.90973122242576,0.98817766
122.9301658655022,0.9880976
122.95060040858516,0.98802215
122.97103515166964,0.9881114
122.99146979451325,0.988103
123.01190433747979,0.9880402
123.03233908033144,0.9880922
123.05277372305864,0.98815155
123.07320836567669,0.98816675
123.09364290829399,0.9882847
123.11407765090553,0.9881792
123.13451229340717,0.9883866
123.15494683590805,0.98837495
123.17538157817035,0.98839116
123.19581622055557,0.98853904
123.21625076282362,0.9885938
123.23668540497601,0.98863155
123.2571201471219,0.988766
123.27755468915711,0.9887549
123.31842407298973,0.98891795
123.33885861490853,0.9887834
123.35929325659527,0.98874867
123.37972789839114,0.9889977
123.40016264007863,0.9890731
123.42059718164091,0.9892048
123.44103182309482,0.98928154
123.46146656454948,0.9893611
123.48190110600262,0.98943913
123.50233574733284,0.98957926
123.52277028855315,0.9897027
123.5432050297677,0.98968816
123.56363967087236,0.9899789
123.58407431197702,0.98998487
123.60450895296526,0.9901794
123.62494359382981,0.99032295
123.64537823470164,0.99042654
123.6658127755727,0.9905548
123.68624751620519,0.99074996
123.7066821569606,0.9908985
123.72711669748242,0.9911159
123.74755143799848,0.99126637
123.76798607852106,0.9913874
123.78842061881005,0.99156964
123.80885525920894,0.991637
123.82928999938304,0.9918985
123.84972453967202,0.992124
123.87015917972167,0.9922516
123.89059391977935,0.99247074
123.91102855971258,0.9926928
123.93146309965232,0.99268514
123.95189773947641,0.99302185
123.97233247929398,0.9931647
123.9927670190009,0.99332255
124.01320165859215,0.9936077
124.0336363981769,0.99372214
124.05407093765098,0.99403965
124.07450557712582,0.9941254
124.09494021648425,0.99444175
124.11537485571898,0.9946324
124.135809494961,0.9946992
124.15624413407932,0.9950179
124.17667887320567,0.9952012
124.1971134122141,0.9955296
124.21754805110686,0.9957626
124.23798268999235,0.9959863
124.2584173287687,0.9961478
124.27885196753778,0.9963924
124.29928660619771,0.9965788
124.31972134474199,0.9968033
124.34015588328475,0.99697953
124.36059052170458,0.9972179
124.38102516013168,0.99754256
124.40145979831868,0.9976337
124.42189443662937,0.9977361
124.44232907470723,0.9979465
124.46276381289499,0.99803686
124.48319835085567,0.99828917
124.50363298881712,0.9985493
124.52406752666138,0.99873394
124.5445022644999,0.9987426
124.56493690222851,0.9990318
124.58537143983995,0.9991206
124.60580617744563,0.9992922
124.62624081494141,0.9994623
124.64667545242992,0.99957144
