phase,binned_flux,standardized_flux
0.48001002004008014,241297.59,0.9958052368736041
0.4819138276553106,241297.99,0.9958068876240105
0.48381763527054106,242189.34,0.999485378560813
0.4857214428857715,242217.66,0.9996022516895843
0.48762525050100197,242250.985,0.9997397798328153
0.48952905811623243,242194.95,0.9995085303352624
0.4914328657314629,242197.945,0.9995208903289302
0.49333667334669334,241237.92,0.9955589861817334
0.4952404809619238,241262.915,0.9956621374477517
0.4971442885771543,240362.48,0.9919461538423444
0.49904809619238477,240308.59,0.9917237564938457
0.5009519038076152,240330.21000000002,0.9918129795533103
0.5028557114228457,240336.585,0.9918392883879118
0.5047595190380761,240386.94,0.9920470972296941
0.5066633266533066,240376.59,0.9920043840629292
0.5085671342685371,240398.61,0.9920952578728001
0.5104709418837675,242262.78,0.9997884563354232
0.512374749498998,240466.84000000003,0.9923768346233673
0.5142785571142284,240489.85,0.9924717940404939
0.5161823647294589,241381.7,0.9961523484153044
0.5180861723446893,241408.84,0.9962643518303768
0.5199899799599198,242298.34000000003,0.9999352080465499
0.5218937875751503,242364.655,1.0002088818295465
0.5237975951903807,242346.45,1.0001337520516764
0.5257014028056112,242307.72,0.9999739181435793
0.5276052104208416,242347.09,1.0001363932523266
0.5295090180360721,242308.93,0.9999789116635586
0.5314128256513025,242248.62,0.9997300197710376
0.533316633266533,240482.64,0.992442039264419
0.5352204408817635,240523.31,0.992609879311987
0.5371242484969939,243585.375,1.005246641919717
0.5390280561122244,240502.27000000002,0.9925230498406118
0.5409318637274548,242057.86,0.998942776902238
0.5428356713426853,242017.975,0.9987781764523426
0.5447394789579159,242045.795,0.9988929861431058
0.5466432865731463,240541.53,0.9926850709929973
0.5485470941883768,240474.19,0.9924071671620843
0.5504509018036072,243549.115,1.0050970013953793
0.5523547094188377,243544.83,1.005079317731651
0.5542585170340681,240577.34,0.9928328544231279
0.5561623246492986,242073.71,0.9990081878870906
0.5580661322645291,242276.89,0.9998466865560081
0.5599699398797595,242313.17,0.9999964096178662
0.56187374749499,242292.85499999998,0.9999125721316023
0.5637775551102204,242243.995,0.9997109329694639
0.5656813627254509,242284.33500000002,0.9998774111479467
0.5675851703406813,242276.16,0.9998436739365164
