phase,raw_flux
0.0073300538390839165,238029.42
0.007334780118133821,242302.8
0.007335671379101072,231583.97
0.007341318339381786,244665.17
0.007355471217463272,253830.48
0.0073563520948094485,253670.67
0.00738037979831585,245121.31
0.007388773226866263,242302.64
0.007409832944812678,240528.94
0.007455169573216125,243481.83
0.007482821161131525,240400.06
0.007510003755410111,240400.83
0.007555061756598036,243672.5
0.007577653058930878,226693.47
0.007588175130187835,223685.67
0.007621612126687438,245488.67
0.007622802782119464,245395.62
0.007623181784356361,244273.64
0.007634804519643268,244727.11
0.007637244671039767,226620.28
0.007652345920014625,247767.48
0.007652532825227709,247914.05
0.007676692054625178,221649.34
0.007680174029520259,250793.62
0.00768368023286925,238068.64
0.007688397858895968,242299.95
0.007689292581074758,231581.83
0.00769495511678997,244716.31
0.007709078574606121,253826.22
0.007709959451952297,253692.62
0.007734004461496191,245160.94
0.0077424065430680145,242266.75
0.007763473183427294,240518.48
0.007808811542435734,243534.0
0.00783646486095435,240341.73
0.007863642263423287,240356.38
0.007908701995214429,243667.12
0.007931286375129076,226687.19
0.007941799793368176,223688.81
0.007975222945034943,245507.8
0.007976408408655544,245476.25
0.007976818561764455,244221.33
0.007988420529805751,244684.3
0.007990865873013675,226631.77
0.008005958468967123,247780.08
0.00800614191297555,247943.73
0.008030304603579452,221712.06
0.008033781386663108,250828.44
0.008037308357259576,237977.58
0.008042015599663443,242271.81
0.008042917244255765,231573.69
0.008048591894198154,244714.89
0.00806268593174897,253786.55
0.008063566809095146,253700.23
0.008087629124678308,245104.89
0.008096043320476198,242239.33
0.008117115152650456,240519.97
0.008162450050447134,243543.77
0.00819010509957252,240346.36
0.008217284232639344,240408.86
0.00826234396443315,243710.72
0.00828492315253726,226721.08
0.008295429648359942,223722.7
0.008328835493990994,245481.94
0.008330014035195177,245500.5
0.008330457069776271,244289.14
0.00834204000117822,244720.89
0.00834448534438259,226628.92
0.00835956755671674,247821.75
0.008359749270116623,247951.88
0.00838391542193051,221627.67
0.0083873852826013,250855.55
0.00839093475104491,237984.17
0.008395631609825926,242342.42
0.008396536715625569,231547.25
0.008402228671602785,244729.12
0.008416295019495923,253814.28
0.0084171758968421,253690.28
0.008441253787859537,245077.17
0.00844967836727939,242152.59
0.008470755391265072,240512.81
0.008516088558459423,243539.59
0.008543750529998562,240306.12
0.008570924471257513,240413.73
0.008615985933652759,243691.86
0.008638558199340451,226722.73
0.008649056042145276,223689.92
0.008682444581740612,245508.61
0.008683621392339802,245505.19
0.008684093847184366,244222.3
0.008695659472547135,244703.23
0.00869810481574973,226683.81
0.008713176644462806,247762.11
0.00871335316605304,247937.8
0.008737529701488,221652.34
0.008740990909139157,250780.62
0.008744562875435236,238021.23
0.00874924761998841,242322.72
0.008750157917599255,231526.75
0.008755865449014522,244718.53
0.008769904107241988,253812.34
0.008770783253984948,253700.47
0.00879488018164487,245059.03
0.008803313414084357,242243.89
0.008824397360484681,240544.31
0.008869730527678144,243585.14
0.008897392499219947,240335.69
0.008924566440477122,240450.83
0.00896962790287148,243654.64
0.008992193246143643,226730.17
0.009002680705325616,223687.42
0.00903605713069311,245536.53
0.009037227018879435,245559.44
0.00903773062459246,244211.05
0.00904927721331461,244722.09
0.009051724287122198,226670.2
0.009066787462813863,247813.77
0.009066962253799105,247949.78
0.009094598266283782,250799.19
0.009098189269217016,237986.22
0.009102865360754109,242303.09
0.009103782580780262,231507.52
0.009109500495817713,244669.61
0.009123511464384837,253814.89
0.009124388880524581,253748.78
0.009148503114221995,245087.88
0.009156946730286109,242211.06
0.00917804106030573,240497.39
0.009223370766294536,243581.61
0.009251037929645989,240297.09
0.009278204948490298,240489.3
0.009323268141487873,243677.42
0.009345830023553603,226693.36
0.009356310560320935,223737.86
0.00938966967964916,245499.81
0.009390832645415514,245545.25
0.009391369132604277,244308.59
0.009402894954078533,244733.12
0.009405343758491114,226690.52
0.009420396550559929,247781.0
0.009420569610941953,247882.36
0.009444753068795109,221635.33
0.009448202162216646,250783.88
0.00945181566300235,237971.88
0.009456483101518032,242343.08
0.009457402052150066,231519.09
0.009463137273225897,244730.73
0.009477118821528574,253800.86
0.009477999698875195,253702.86
0.009502127777402336,245156.95
0.009510583507694292,242281.36
0.009577009274305937,243512.86
0.009604678168260605,240270.12
0.009631845187104915,240486.12
0.009676910110707482,243632.53
0.009699465070360347,226709.45
0.009709936954099163,223720.58
0.009743278767395225,245500.64
0.0097444382719587,245471.86
0.00974500591001237,244226.91
0.009756516156052442,244695.67
0.009758964960465022,226658.19
0.009774007368910986,247784.36
0.009774173506880146,247898.34
0.009798367348352599,221687.73
0.009801809519361271,250740.69
0.009805443787392676,237943.88
0.009810099111680515,242336.31
0.009811024984727412,231570.55
0.009816775781239073,244643.2
0.009830729639879188,253773.56
0.009831607056018044,253703.88
0.00985575417118767,245134.11
0.009864216823892491,242249.19
0.009885321537534963,240487.52
0.009930651243525546,243534.19
0.00995832186808343,240339.73
0.009985487156324524,240440.56
0.010030552079926203,243699.44
0.010053101847764978,226710.12
0.01006356161728661,223660.91
0.010096889585746283,245467.14
0.010098045629099772,245514.34
0.010098642687419973,244278.36
0.010110132166211372,244699.39
0.010112582701232498,226683.0
0.010127616456657051,247832.44
0.010127782594624435,247866.8
0.010151978166703657,221656.98
0.010155415145899127,250760.66
0.01015907018117801,237950.72
0.010163715121841221,242314.91
0.010164646186701098,231514.45
0.010170410828042264,244664.59
0.010184336997022037,253847.98
0.010185214413160892,253720.56
0.010209377103765682,245100.62
0.010217851870695682,242205.97
0.010238963506754573,240421.61
0.010284291482141938,243549.38
0.010311965567908032,240288.92
0.010339125664334148,240458.05
0.010384192318542596,243663.23
0.010406736894571722,226695.98
0.01041718974166983,223671.0
0.01045050040409734,245496.42
0.010451651255639405,245483.8
0.01045228119543179,244285.05
0.01046375163758384,244766.02
0.010466202172599637,226723.58
0.01048122727500811,247809.03
0.010481388221164067,247885.89
0.01050559244625937,221691.64
0.01050902077243876,250765.91
0.010512700036169775,237996.19
0.010517332862608697,242313.84
0.010518269119278445,231525.05
0.010524047605450448,244688.34
0.010537944354164885,253828.83
0.010538820039700525,253726.92
0.010563001766946911,245120.95
0.010571486917498873,242253.34
0.010592605475977734,240491.66
0.010637929990153339,243553.59
0.010665607537127642,240321.8
0.010692767633553757,240438.47
0.010737834287761316,243635.91
0.01076037021076992,226672.0
0.010770817866060156,223640.09
0.010804111222448398,245531.5
0.010805917972839883,244250.31
0.010817372839557748,244737.06
0.010819823374573545,226695.69
0.01082047754281934,221994.19
0.010834838093355614,247871.86
0.010834993847701924,247917.2
0.010859204995215421,221681.64
0.010862628129581609,250808.06
0.010866326429955109,237956.64
0.010870950603376173,242311.5
0.010871890321252131,231483.61
0.010877684382858632,244621.84
0.010891555172515943,253798.98
0.010892429127447478,253726.09
0.01091662643012814,245107.62
0.010925121964307394,242242.5
0.010946243983990911,240411.34
0.010991571959372948,243544.86
0.011019249506345474,240307.09
0.011046409602773366,240440.58
0.011091476256980926,243673.83
0.01111400698817988,226737.97
0.011124442529240497,223697.95
0.011157723771404449,245459.52
0.01115886423932011,245465.73
0.011159554750247977,244307.03
0.011170988849720231,244806.86
0.01117344111534102,226705.69
0.011174107397812882,222011.61
0.011188448911710225,247881.53
0.011188602935451541,247849.84
0.011212815813566479,221652.45
0.011216233756119465,250769.27
0.011219952823740442,238021.12
0.011224564882933663,242312.83
0.011225511523225595,231501.3
0.011231319429661824,244645.56
0.011245160799054688,253827.02
0.011246038215193543,253651.12
0.01127025109330937,245121.94
0.011278758741715578,242218.91
0.01129988768381196,240430.84
0.011345212197988452,243507.72
0.011372894936771516,240255.98
0.01140004811078299,240375.38
0.011445114764992326,243612.67
0.011467643765588065,226678.72
0.011478070653630823,223717.98
0.011511334589751954,245498.56
0.011512469865863295,245455.36
0.01151319152765607,244305.83
0.01152461005169414,244752.05
0.011527060586709936,226715.55
0.011527735522201432,221987.55
